[19:58]: Collected image: datasets\User.1.69.jpg
[19:58]: Collected image: datasets\User.1.70.jpg
[19:58]: Collected image: datasets\User.1.71.jpg
[19:58]: Collected image: datasets\User.1.72.jpg
[19:58]: Collected image: datasets\User.1.73.jpg
[19:58]: Collected image: datasets\User.1.74.jpg
[19:58]: Collected image: datasets\User.1.75.jpg
[19:58]: Collected image: datasets\User.1.76.jpg
[19:58]: Collected image: datasets\User.1.77.jpg
[19:58]: Collected image: datasets\User.1.78.jpg
[19:58]: Collected image: datasets\User.1.79.jpg
[19:58]: Collected image: datasets\User.1.80.jpg
[19:58]: Collected image: datasets\User.1.81.jpg
[19:58]: Collected image: datasets\User.1.82.jpg
[19:58]: Collected image: datasets\User.1.83.jpg
[19:58]: Collected image: datasets\User.1.84.jpg
[19:58]: Collected image: datasets\User.1.85.jpg
[19:58]: Collected image: datasets\User.1.86.jpg
[19:58]: Collected image: datasets\User.1.87.jpg
[19:58]: Collected image: datasets\User.1.88.jpg
[19:58]: Collected image: datasets\User.1.89.jpg
[19:58]: Collected image: datasets\User.1.90.jpg
[19:58]: Collected image: datasets\User.1.91.jpg
[19:58]: Collected image: datasets\User.1.92.jpg
[19:58]: Collected image: datasets\User.1.93.jpg
[19:58]: Collected image: datasets\User.1.94.jpg
[19:58]: Collected image: datasets\User.1.95.jpg
[19:58]: Collected image: datasets\User.1.96.jpg
[19:58]: Collected image: datasets\User.1.97.jpg
[19:58]: Collected image: datasets\User.1.98.jpg
[19:58]: Collected image: datasets\User.1.99.jpg
[19:58]: Collected image: datasets\User.1.100.jpg
[19:58]: Finished collecting faces for ID: 1, Name: Charles
[19:58]: Motion Detected
[19:58]: Training completed successfully
[19:59]: Motion Detected
[19:59]: Face Detected: Charles
[19:59]: Face Detected: Unknown
[19:59]: Motion Detected
[19:59]: Face Detected: Charles
[19:59]: Face Detected: Unknown
[19:59]: Motion Detected
[19:59]: Face Detected: Charles
[19:59]: Failed to send email: (421, b'4.3.0 Temporary System Problem. Try again later (10). For more information,\n4.3.0 go to\n4.3.0  https://support.google.com/a/answer/3221692 98e67ed59e1d1-2c4a769bc3dsm14922096a91.37 - gsmtp')
[19:59]: Failed to send email: (421, b'4.3.0 Temporary System Problem. Try again later (10). For more information,\n4.3.0 go to\n4.3.0  https://support.google.com/a/answer/3221692 d9443c01a7336-1f86e1d8374sm89671605ad.255 - gsmtp')
